,order,trainMAPE,trainMSE,trainMAE,testMAPE,testMSE,testMAE
144,"[1, 1, 3]",3464722757063.315,48259.15977791913,142.54541981219282,82.08500719743982,72597.45266216273,173.67458883036045
145,"[1, 1, 4]",3464722757063.338,47605.93436008582,142.1141016886886,84.19982320426094,72600.50495184613,173.68054558847558
146,"[1, 1, 6]",3464722757063.0884,47507.60572600215,142.5591979532275,253.12330085461494,72600.72964421115,173.67919302626868
147,"[1, 1, 8]",3464722757065.714,47375.34446352634,142.50518960638445,176.83993838902373,72599.0410653935,173.67930098206014
148,"[1, 1, 10]",3464722757079.0317,47174.57492559503,141.84225206983095,75.83813085327087,72589.94366913957,173.66713817860807
149,"[1, 1, 16]",3464722757064.846,46628.666829578586,141.92971079765792,122.164193487302,72583.8273069572,173.6706592914489
150,"[1, 1, 24]",3464722757067.056,43279.962062730636,139.18892225124813,68.88586779441957,72621.65108431807,173.72554612382459
151,"[2, 1, 0]",3464722757062.198,60843.691244063746,163.02134082183068,1.0147461979250565,465211.30755895365,635.9452224119794
152,"[2, 1, 1]",3464722757067.3867,47746.35180884443,142.11977560108448,69.59815815546966,72598.57569545518,173.68187458017832
153,"[2, 1, 2]",3464722757102.1143,48040.390388854015,141.461981868662,72.4492981052916,72611.09955219591,173.70228190951082
154,"[2, 1, 3]",3464722757062.11,47708.15993416659,142.40292022558833,352.43562645875346,72608.28493537278,173.6938533901374
155,"[2, 1, 4]",3464722757062.8833,47444.8870542154,142.16903728563588,81.41287162177869,72592.23217489537,173.6676035563963
156,"[2, 1, 6]",3464722757066.05,46706.12658270528,142.33266150164397,190.34476367033943,72597.33832407645,173.72050923098357
157,"[2, 1, 8]",3464722757085.3604,47003.7524317257,142.16600243675796,73.84959111444464,72596.85659540983,173.68180721045042
158,"[2, 1, 10]",3464722757192.855,46494.23974200878,141.57278446178915,75.42542786446344,72584.43894917885,173.66408848737674
159,"[2, 1, 16]",3464722757066.3237,45509.26940867899,141.42084358240146,84.37697552585749,72581.14542136116,173.66890560591088
160,"[2, 1, 24]",3464722757062.384,42867.65452919756,138.72346610393888,68.82563982232682,72621.8297337918,173.7319936583894
161,"[3, 1, 0]",3464722757060.425,57842.52907458107,159.33116091887752,1.0165485265151561,435156.0626474242,612.2300435242972
162,"[3, 1, 1]",3464722757061.5327,47696.62350500379,141.95919240921418,69.70427724637558,72593.62780196138,173.6711518363531
163,"[3, 1, 2]",3464722757061.4893,47664.58806432256,142.5189876940669,575.5816633131145,72610.65116845403,173.70122345152066
164,"[3, 1, 3]",3464722757065.2314,47361.501712344274,141.69934133968803,81.8220736415878,72610.23533452685,173.72753433203712
165,"[3, 1, 4]",3464722757064.929,47208.263952337074,141.93882639600335,84.45968142027213,72605.34088659487,173.68003830336318
166,"[3, 1, 6]",3464722757064.1514,47047.40562388977,141.78542804529155,72.04606434371797,72598.88982418108,173.68537579897213
167,"[3, 1, 8]",3464722757114.308,46884.69010661867,141.9041654565789,96.70685725618836,72594.26995248675,173.67314769260344
168,"[3, 1, 10]",3464722757063.9175,46382.80128211981,140.89688394250064,116.65172641295813,72591.92435695467,173.65799175481183
169,"[3, 1, 16]",3464722757061.4473,45594.90404557834,141.47514159707458,76.34945786713077,72579.75887741598,173.67367492499724
