Time,PSEforecast,Load,ARIMALOAD,ARIMATD,ARIMATG
2022-05-29 11:00:00+02:00,17700.0,16311.95,15599.770719432054,14957.99861414203,15253.276371947284
2022-05-29 12:00:00+02:00,17800.0,16122.488,15225.038944651573,17153.901377021662,15477.419002051582
2022-05-29 13:00:00+02:00,17900.0,15880.338,14942.010366635204,16954.101178293062,15526.478702942406
2022-05-29 14:00:00+02:00,17550.0,16068.25,14767.87742016468,16910.327129361576,15039.97889763172
2022-05-29 15:00:00+02:00,17200.0,16136.463,14712.5847109875,16903.08665389885,15045.588297336246
2022-05-29 16:00:00+02:00,16800.0,15955.625,14777.785952380544,16319.052993622787,14578.74291987258
2022-05-29 17:00:00+02:00,17050.0,16176.788,14957.259289874191,16221.673216481606,14954.432073792219
2022-05-29 18:00:00+02:00,17250.0,16650.763,15237.143318994384,16803.359262780203,15515.666946884876
2022-05-29 19:00:00+02:00,17600.0,16953.688,15597.22349418718,17240.892021959746,15732.371389703309
2022-05-29 20:00:00+02:00,17900.0,17416.15,16012.193131025304,17584.758435575863,16003.17585393053
2022-05-29 21:00:00+02:00,18000.0,17562.888,16453.567618139557,17787.29362834477,16208.07392066392
2022-05-29 22:00:00+02:00,17200.0,16941.85,16891.516895880908,16971.627073098625,15515.255040002494
2022-05-29 23:00:00+02:00,16250.0,15907.85,17296.963057383786,15981.300796295493,14504.632043936801
2022-05-30 00:00:00+02:00,15000.0,15001.338,16165.597732206224,15161.015339592579,13525.622933562163
2022-05-30 01:00:00+02:00,14500.0,14600.488,16581.050673637124,14596.907329928381,13235.242398092727
2022-05-30 02:00:00+02:00,14350.0,14337.413,16907.920714817115,14402.765556324857,13187.64049728053
2022-05-30 03:00:00+02:00,14450.0,14407.363,17125.872390761397,14610.508970944518,13166.79257259695
2022-05-30 04:00:00+02:00,14650.0,14500.3,17222.27076817721,14423.383117044694,13086.996306556428
2022-05-30 05:00:00+02:00,16600.0,15201.563,17192.620369157932,15182.21276242261,13764.955177058411
